date,item_id,store_id,dept_id,cat_id,sales,predicted_sales,absolute_error
2016-03-28,FOODS_1_001,CA_1,FOODS_1,FOODS,2,0.820905,1.1790949702262878
2016-03-28,FOODS_1_002,CA_1,FOODS_1,FOODS,0,0.5512008,0.551200807094574
2016-03-28,FOODS_1_003,CA_1,FOODS_1,FOODS,4,0.8175309,3.182469129562378
2016-03-28,FOODS_1_004,CA_1,FOODS_1,FOODS,0,0.0335937,0.03359369933605194
2016-03-28,FOODS_1_005,CA_1,FOODS_1,FOODS,1,1.2889823,0.2889822721481323
2016-03-28,FOODS_1_006,CA_1,FOODS_1,FOODS,3,1.4108607,1.5891393423080444
2016-03-28,FOODS_1_008,CA_1,FOODS_1,FOODS,0,0.47224948,0.47224947810173035
2016-03-28,FOODS_1_009,CA_1,FOODS_1,FOODS,0,0.03085813,0.030858129262924194
2016-03-28,FOODS_1_010,CA_1,FOODS_1,FOODS,0,0.14360386,0.1436038613319397
2016-03-28,FOODS_1_011,CA_1,FOODS_1,FOODS,2,0.21224838,1.7877516150474548
2016-03-28,FOODS_1_012,CA_1,FOODS_1,FOODS,7,3.1346755,3.8653244972229004
2016-03-28,FOODS_1_013,CA_1,FOODS_1,FOODS,0,2.0173075,2.0173075199127197
2016-03-28,FOODS_1_014,CA_1,FOODS_1,FOODS,1,1.9976892,0.9976892471313477
2016-03-28,FOODS_1_015,CA_1,FOODS_1,FOODS,0,0.6721795,0.6721795201301575
2016-03-28,FOODS_1_016,CA_1,FOODS_1,FOODS,0,0.14148892,0.1414889246225357
2016-03-28,FOODS_1_017,CA_1,FOODS_1,FOODS,0,0.8215016,0.821501612663269
2016-03-28,FOODS_1_018,CA_1,FOODS_1,FOODS,6,8.034563,2.0345630645751953
2016-03-28,FOODS_1_019,CA_1,FOODS_1,FOODS,3,10.3370495,7.33704948425293
2016-03-28,FOODS_1_020,CA_1,FOODS_1,FOODS,0,1.1097791,1.1097791194915771
2016-03-28,FOODS_1_021,CA_1,FOODS_1,FOODS,0,1.4677361,1.4677361249923706
2016-03-28,FOODS_1_022,CA_1,FOODS_1,FOODS,0,0.03547121,0.03547120839357376
2016-03-28,FOODS_1_023,CA_1,FOODS_1,FOODS,4,0.6732306,3.3267694115638733
2016-03-28,FOODS_1_024,CA_1,FOODS_1,FOODS,1,0.45531356,0.5446864366531372
2016-03-28,FOODS_1_025,CA_1,FOODS_1,FOODS,0,0.08373886,0.08373886346817017
2016-03-28,FOODS_1_026,CA_1,FOODS_1,FOODS,0,0.037851606,0.03785160556435585
2016-03-28,FOODS_1_027,CA_1,FOODS_1,FOODS,0,1.9133506,1.9133505821228027
2016-03-28,FOODS_1_028,CA_1,FOODS_1,FOODS,0,0.032606438,0.03260643780231476
2016-03-28,FOODS_1_029,CA_1,FOODS_1,FOODS,0,0.5376053,0.5376052856445312
2016-03-28,FOODS_1_030,CA_1,FOODS_1,FOODS,0,0.6429227,0.6429226994514465
2016-03-28,FOODS_1_031,CA_1,FOODS_1,FOODS,1,0.99091345,0.009086549282073975
2016-03-28,FOODS_1_032,CA_1,FOODS_1,FOODS,0,1.881935,1.8819350004196167
2016-03-28,FOODS_1_033,CA_1,FOODS_1,FOODS,0,0.91689855,0.9168985486030579
2016-03-28,FOODS_1_034,CA_1,FOODS_1,FOODS,0,0.5616691,0.561669111251831
2016-03-28,FOODS_1_035,CA_1,FOODS_1,FOODS,2,1.1058803,0.8941197395324707
2016-03-28,FOODS_1_036,CA_1,FOODS_1,FOODS,0,2.9000368,2.9000368118286133
2016-03-28,FOODS_1_037,CA_1,FOODS_1,FOODS,0,2.414034,2.414033889770508
2016-03-28,FOODS_1_038,CA_1,FOODS_1,FOODS,0,0.43894035,0.4389403462409973
2016-03-28,FOODS_1_039,CA_1,FOODS_1,FOODS,0,0.71121734,0.7112173438072205
2016-03-28,FOODS_1_040,CA_1,FOODS_1,FOODS,0,3.3064556,3.306455612182617
2016-03-28,FOODS_1_041,CA_1,FOODS_1,FOODS,0,1.1618137,1.161813735961914
2016-03-28,FOODS_1_042,CA_1,FOODS_1,FOODS,1,3.5796165,2.5796165466308594
2016-03-28,FOODS_1_043,CA_1,FOODS_1,FOODS,0,0.0335937,0.03359369933605194
2016-03-28,FOODS_1_044,CA_1,FOODS_1,FOODS,0,0.032606438,0.03260643780231476
2016-03-28,FOODS_1_045,CA_1,FOODS_1,FOODS,0,1.6894883,1.6894882917404175
2016-03-28,FOODS_1_046,CA_1,FOODS_1,FOODS,4,9.855109,5.855109214782715
2016-03-28,FOODS_1_047,CA_1,FOODS_1,FOODS,2,0.7586688,1.2413312196731567
2016-03-28,FOODS_1_048,CA_1,FOODS_1,FOODS,0,0.43671948,0.43671947717666626
2016-03-28,FOODS_1_049,CA_1,FOODS_1,FOODS,2,0.7507927,1.249207317829132
2016-03-28,FOODS_1_050,CA_1,FOODS_1,FOODS,1,0.96719575,0.032804250717163086
2016-03-28,FOODS_1_051,CA_1,FOODS_1,FOODS,0,0.49158782,0.4915878176689148
2016-03-28,FOODS_1_052,CA_1,FOODS_1,FOODS,1,1.0664307,0.06643068790435791
2016-03-28,FOODS_1_053,CA_1,FOODS_1,FOODS,0,0.35645932,0.3564593195915222
2016-03-28,FOODS_1_054,CA_1,FOODS_1,FOODS,1,1.751904,0.7519040107727051
2016-03-28,FOODS_1_055,CA_1,FOODS_1,FOODS,4,1.8052621,2.1947379112243652
2016-03-28,FOODS_1_056,CA_1,FOODS_1,FOODS,0,0.03085813,0.030858129262924194
2016-03-28,FOODS_1_057,CA_1,FOODS_1,FOODS,0,0.03085813,0.030858129262924194
2016-03-28,FOODS_1_058,CA_1,FOODS_1,FOODS,0,0.0335937,0.03359369933605194
2016-03-28,FOODS_1_059,CA_1,FOODS_1,FOODS,0,0.16699114,0.16699114441871643
2016-03-28,FOODS_1_060,CA_1,FOODS_1,FOODS,0,0.8840047,0.8840047121047974
2016-03-28,FOODS_1_061,CA_1,FOODS_1,FOODS,3,1.752496,1.2475039958953857
2016-03-28,FOODS_1_062,CA_1,FOODS_1,FOODS,1,1.9361855,0.9361854791641235
2016-03-28,FOODS_1_063,CA_1,FOODS_1,FOODS,0,1.0681267,1.0681266784667969
2016-03-28,FOODS_1_064,CA_1,FOODS_1,FOODS,2,0.83020747,1.1697925329208374
2016-03-28,FOODS_1_065,CA_1,FOODS_1,FOODS,0,0.48284382,0.482843816280365
2016-03-28,FOODS_1_066,CA_1,FOODS_1,FOODS,1,1.0343484,0.034348368644714355
2016-03-28,FOODS_1_067,CA_1,FOODS_1,FOODS,3,1.4990443,1.5009557008743286
2016-03-28,FOODS_1_068,CA_1,FOODS_1,FOODS,0,0.23074186,0.23074185848236084
2016-03-28,FOODS_1_069,CA_1,FOODS_1,FOODS,10,1.4204684,8.57953155040741
2016-03-28,FOODS_1_070,CA_1,FOODS_1,FOODS,0,0.69148546,0.6914854645729065
2016-03-28,FOODS_1_071,CA_1,FOODS_1,FOODS,2,0.77697873,1.2230212688446045
